,index,代码,名称,成交额,总市值,换手率,首次封板时间,date,t-1 open,t-1 close,t-1 high,t-1 low,t-1 volume,t+0 open,t+0 close,t+0 high,t+0 low,t+0 volume,t+1 open,t+1 close,t+1 high,t+1 low,t+1 volume
43,43,300709,精研科技,1008906448,5919099222.61,22.830078125,110548,20231030,25.43,26.51,26.91,24.6,706631329.0,27.5,31.81,31.81,27.46,1008906449.0,33.99,32.82,34.68,31.74,1608730179.0
44,44,603689,皖天然气,157097911,4270615332.0,3.816520929336548,110832,20231030,8.02,8.12,8.13,7.97,22670707.0,8.29,8.93,8.93,8.29,157097911.0,9.17,8.58,9.17,8.56,129653185.0
45,45,002981,朝阳科技,63821333,2751360000.0,2.7257416248321533,110909,20231030,26.35,26.05,26.55,25.61,32320656.0,25.93,28.66,28.66,25.89,63821332.56,30.65,31.53,31.53,30.0,101271079.0
46,46,002484,江海股份,475230464,14910849273.6,3.4741971492767334,111554,20231030,15.1,16.04,16.23,15.02,324679172.33,16.1,17.64,17.64,16.06,475230461.54,17.68,17.18,17.77,16.78,544293933.76
47,47,301387,光大同创,357971712,4999280000.0,33.5705451965332,112436,20231030,52.7,54.82,55.55,49.88,192901848.0,53.69,65.78,65.78,53.69,357971718.0,64.78,60.67,64.78,60.4,264445713.0
48,48,300063,天龙集团,864136832,4063693221.2799997,27.487926483154297,112445,20231030,4.48,4.49,4.65,4.48,234822874.0,4.48,5.39,5.39,4.48,864136833.0,5.61,5.36,5.97,5.3,1402041584.0
49,49,600610,中毅达,241098583,8002421321.759999,7.483825206756592,112830,20231030,6.86,6.79,6.87,6.38,204596833.0,6.85,7.47,7.47,6.73,241098583.0,7.58,7.35,7.77,7.25,268806660.0
50,50,002436,兴森科技,1208124432,25072942894.72,5.585551738739014,130003,20231030,12.65,13.49,13.7,12.58,861181760.32,13.75,14.84,14.84,13.64,1208124434.25,14.76,14.75,15.14,14.49,1099910829.82
51,51,002273,水晶光电,1472749488,19746977580.8,7.8344407081604,130206,20231030,12.82,12.91,13.15,12.62,628775986.19,13.06,14.2,14.2,13.03,1472749486.15,14.3,13.8,14.3,13.69,1221191210.68
52,52,603408,建霖家居,83051942,5434019201.599999,5.9753336906433105,131115,20231030,10.75,11.0,11.04,10.71,10712109.0,11.44,12.1,12.1,11.18,83051942.0,12.19,11.84,12.19,11.65,64881659.0
53,53,003021,兆威机电,222000286,12561050134.1,5.235623359680176,131918,20231030,67.92,66.77,67.93,63.29,170019078.7,66.18,73.45,73.45,65.3,222000285.69,73.47,72.98,75.06,72.62,202422231.87
54,54,600203,福日电子,1152331072,5319103077.6,22.71207618713379,132429,20231030,9.0,8.15,9.0,7.6,1073799430.0,7.98,8.97,8.97,7.94,1152331066.0,8.8,8.38,9.48,8.37,971368968.0
55,55,003007,直真科技,300352448,3133520000.0,27.00297737121582,133203,20231030,28.54,27.39,28.97,27.0,229112196.0,26.98,30.13,30.13,26.98,300352448.4,29.8,29.36,31.33,29.05,462377770.6
56,56,600563,法拉电子,698569056,23303250000.0,3.1206448078155518,133235,20231030,86.98,94.15,94.88,86.92,298651001.0,93.1,103.57,103.57,92.17,698569055.0,103.19,99.81,104.27,98.95,421383191.0
57,57,600186,莲花健康,1046588192,13077539281.44,8.399834632873535,134205,20231030,6.85,6.63,6.98,6.55,1041255418.0,6.62,7.29,7.29,6.47,1046588186.0,7.29,7.11,7.52,6.93,1179393036.0
58,58,603721,中广天择,176132232,2302300000.0,7.839284420013428,134337,20231030,15.65,16.1,16.17,15.59,32507144.0,16.07,17.71,17.71,16.02,176132232.0,18.03,19.48,19.48,17.98,378908098.0
59,59,600846,同济科技,203528075,5997710592.0,3.4742565155029297,134605,20231030,8.69,8.73,8.78,8.64,35384747.0,8.73,9.6,9.6,8.73,203528075.0,9.7,9.95,10.1,9.57,322380018.0
60,60,000034,神州数码,1808331520,21768094174.879997,10.483060836791992,134633,20231030,29.2,29.55,30.11,28.82,956090267.94,30.14,32.51,32.51,29.55,1808331519.62,32.7,31.07,32.8,30.7,1829126790.06
61,61,300426,唐德影视,278849936,4441790042.88,7.09328556060791,135209,20231030,9.2,9.05,9.48,9.04,193939812.0,9.12,10.86,10.86,9.06,278849930.0,12.65,11.44,12.89,11.02,384098733.0
62,62,600423,柳化股份,86929877,2795432584.0,3.2050535678863525,135658,20231030,3.02,3.18,3.18,3.02,14185892.0,3.16,3.5,3.5,3.16,86929877.0,3.5,3.5,3.64,3.45,103213903.0
63,63,002519,银河电子,484054656,6657206595.360001,7.534727573394775,140439,20231030,5.32,5.37,5.4,5.27,59172641.6,5.33,5.91,5.91,5.29,484054662.54,6.0,5.8,6.0,5.73,508946722.05
64,64,600435,北方导航,616971488,16480889568.0,3.8286945819854736,141749,20231030,10.01,10.0,10.19,9.71,448441942.0,9.95,11.0,11.0,9.95,616971489.0,10.9,11.1,11.36,10.78,584734956.0
65,65,603283,赛腾股份,299297648,10135997088.800001,3.3024239540100098,143255,20231030,46.05,46.0,46.36,44.66,101112261.0,45.95,50.6,50.6,45.25,299297652.0,55.66,54.1,55.66,53.1,760484593.0
66,66,300291,百纳千成,378484624,6094026022.559999,7.647946834564209,144227,20231030,5.31,5.39,5.57,5.27,81452834.0,5.35,6.47,6.47,5.34,378484616.0,6.47,6.05,6.77,6.05,506689734.0
67,0,603788,宁波高发,1314175840,4351999476.68,27.915128707885742,092501,20231030,20.13,20.13,20.13,20.13,21109526.0,22.14,19.51,22.14,18.9,1314175844.0,17.56,17.56,17.98,17.56,420042508.0
68,1,603037,凯众股份,669182608,2649921468.0499997,23.70559310913086,093018,20231030,20.8,21.05,21.05,20.2,173594106.0,22.78,19.45,23.16,19.36,669182602.0,18.97,17.68,19.29,17.58,377728461.0
69,2,603009,北特科技,707163664,3702094590.7200003,19.721586227416992,093054,20231030,9.31,10.23,10.23,9.31,316126597.0,10.87,10.32,11.25,9.8,707163659.0,10.5,10.16,11.3,10.0,544231144.0
70,3,002773,康弘药业,1044831616,16182565555.2,8.428030967712402,093118,20231030,16.32,16.65,16.65,16.0,234350982.29,17.99,17.6,18.32,17.46,1044831623.32,17.51,17.76,18.07,17.4,552896749.52
71,4,002420,毅昌科技,517800960,2786950000.0,18.35546875,093127,20231030,7.18,6.85,7.36,6.85,466990109.81,7.04,6.95,7.54,6.95,517800951.54,6.85,6.66,7.11,6.56,365638898.0
72,5,603679,华体科技,452481280,2687545135.1699996,16.78409767150879,093407,20231030,16.0,15.59,16.2,15.41,413909974.0,15.58,16.47,17.15,15.56,452481281.0,16.25,16.21,17.48,16.15,425251645.0
73,6,002580,圣阳股份,1314187856,4402529222.4,39.365562438964844,093515,20231030,9.14,9.71,9.71,8.8,441871062.62,10.59,9.7,10.68,9.68,1314187857.72,9.01,8.97,9.23,8.88,796924648.16
74,7,605318,法狮龙,92626441,2203659853.12,4.237555980682373,093545,20231030,16.19,16.05,16.45,15.93,32108028.0,16.2,17.06,17.66,16.17,92626441.0,16.89,18.77,18.77,16.81,255701791.0
75,8,300630,普利制药,2619522080,12091329880.960001,29.312545776367188,094009,20231030,20.19,24.36,24.36,20.11,1192230695.0,26.05,27.71,29.23,25.8,2619522079.0,28.56,31.68,32.5,27.9,2938914220.0
76,9,600966,博汇纸业,257840059,9344541573.12,2.761263370513916,095030,20231030,6.22,6.42,6.48,6.2,53923131.0,6.7,6.99,7.06,6.69,257840059.0,6.88,6.95,7.17,6.88,152931795.0
77,10,002426,胜利精密,875108560,8638209457.119999,10.94102668762207,095036,20231030,2.38,2.36,2.38,2.29,276006222.9,2.34,2.51,2.6,2.34,875108556.77,2.48,2.56,2.68,2.47,809160063.46
78,11,600223,福瑞达,284857824,10379167121.28,2.754734992980957,100210,20231030,9.14,9.35,9.38,9.04,43299797.0,9.64,10.21,10.29,9.56,284857827.0,10.23,10.92,11.23,10.0,409948080.0
79,12,600986,浙文互联,435130288,8121062389.44,6.083243370056152,104548,20231030,5.03,5.08,5.1,4.99,106516435.0,5.02,5.46,5.59,5.02,435130280.0,5.51,5.56,5.64,5.47,306801693.0
80,13,603477,巨星农牧,449733024,17055660585.600002,2.64495849609375,105343,20231030,31.47,31.91,32.64,30.98,241816946.0,31.6,33.7,35.1,31.5,449733024.0,33.44,32.58,34.0,32.51,204798850.0
81,14,603773,沃格光电,526526672,6032666252.8,9.781181335449219,105556,20231030,34.78,33.0,34.95,32.4,446239597.0,32.53,35.2,36.3,31.53,526526674.0,35.2,34.13,36.67,34.0,372184617.0
82,15,000973,佛塑科技,429126848,4692002364.799999,9.161479949951172,110709,20231030,4.43,4.52,4.52,4.4,36250743.9,4.56,4.85,4.97,4.54,429126840.43,4.91,4.77,4.97,4.7,258011337.07
83,16,600114,东睦股份,1053660416,8228719351.2,13.06623363494873,111350,20231030,12.06,12.29,12.38,11.66,394968903.0,12.15,13.35,13.52,11.86,1053660412.0,13.61,12.89,13.99,12.71,890229612.0
84,17,603728,鸣志电器,427221296,28934146079.999996,1.5338358879089355,111627,20231030,62.62,62.85,63.28,61.3,104886250.0,61.25,68.88,69.14,61.25,427221303.0,69.16,65.93,69.16,65.16,230504935.0
85,18,002947,恒铭达,900635184,6796972220.45,19.252056121826172,111900,20231030,27.5,27.0,27.84,26.52,327768991.45,28.24,29.53,29.7,27.85,900635190.49,29.79,28.12,29.8,27.07,558094225.41
86,19,688159,有方科技,311240224,4345748279.150001,7.615726947784424,112248,20231030,38.12,39.88,40.0,37.58,88999553.0,39.3,47.17,47.86,39.3,311240226.0,46.34,45.22,46.48,43.99,154918349.0
87,20,603668,天马科技,469761232,7536412385.280001,6.312203407287598,130029,20231030,15.62,15.73,15.8,15.51,41742892.0,15.73,17.28,17.3,15.73,469761225.0,17.18,16.79,17.48,16.49,303578890.0
88,21,300101,振芯科技,1219073104,12092575320.000002,10.331377029418945,131103,20231030,17.96,18.19,18.36,17.81,172014941.0,18.09,21.42,21.83,18.09,1219073098.0,21.16,20.77,21.66,20.74,662750652.0
89,22,688316,青云科技-U,320714912,2754384290.68,16.250572204589844,132633,20231030,52.09,49.75,52.89,48.99,165275171.0,49.22,57.64,59.7,49.1,320714917.0,55.91,53.8,56.7,52.6,246782863.0
90,23,300429,强力新材,1871764128,7625865286.400001,35.46474838256836,140730,20231030,11.1,12.7,13.38,10.58,1150613096.0,12.25,14.8,15.24,12.2,1871764128.0,14.88,14.97,15.93,14.25,2036391219.0
91,24,600601,方正科技,543141104,13887076622.4,4.0139312744140625,142209,20231030,3.15,3.11,3.2,3.06,268204183.0,3.08,3.33,3.42,3.02,543141106.0,3.28,3.15,3.28,3.13,323191839.0
92,25,603110,东方材料,763839920,7320628510.160001,10.778993606567383,143501,20231030,31.53,33.94,34.68,31.5,860061754.0,34.2,36.38,37.33,33.3,763839912.0,36.15,33.8,36.8,33.56,480618182.0
93,26,300735,光弘科技,4665971712,24942472360.0,20.833049774169922,145406,20231030,22.75,27.49,27.97,22.35,4415912715.0,27.95,32.5,32.99,26.6,4665971780.0,32.0,30.43,32.29,29.78,3867666900.0
0,0,000628,高新发展,259265853,13562780000.0,3.5060324668884277,092500,20231031,35.0,35.0,35.0,35.0,24357795.0,38.5,38.5,38.5,38.5,259265853.0,42.35,42.35,42.35,42.35,589580818.75
1,1,002437,誉衡药业,146266617,6462481455.36,2.2708547115325928,092500,20231031,2.67,2.67,2.67,2.67,121458449.52,2.94,2.94,2.94,2.94,146266617.0,3.15,2.71,3.15,2.65,1852833100.46
2,2,000676,智度股份,107555590,10288646226.560001,1.046761393547058,092500,20231031,7.33,7.33,7.33,7.33,129442507.74,8.06,8.06,8.06,8.06,107555589.96,7.99,8.45,8.86,7.5,2538379751.38
3,3,002277,友阿股份,38037258,5144497632.0,0.739377498626709,092500,20231031,3.31,3.35,3.36,3.3,52776664.8,3.69,3.69,3.69,3.69,38037258.0,4.06,4.06,4.06,4.06,34363028.0
4,4,000021,深科技,347426560,26810894693.12,1.2963148355484009,092500,20231031,15.16,15.62,15.66,14.8,791301799.07,17.18,17.18,17.18,17.18,347426552.94,17.45,16.77,17.68,16.65,2018540127.04
5,5,603266,天龙股份,351264368,5381875455.0,6.5268025398254395,092501,20231031,24.6,24.6,24.6,22.83,692883501.0,27.06,27.06,27.06,27.06,351264372.0,24.88,29.77,29.77,24.88,1048074794.0
6,6,603929,亚翔集成,23563450,5013960000.0,0.4699568748474121,092503,20231031,21.36,21.36,21.36,21.36,29286696.0,23.5,23.5,23.5,23.5,23563450.0,24.88,25.85,25.85,24.19,501210673.0
7,7,002898,赛隆药业,95574559,2708640000.0,6.20250940322876,093027,20231031,12.72,13.99,13.99,12.58,132511381.3,14.8,15.39,15.39,14.68,95574558.8,15.83,16.93,16.93,14.53,285021025.97
8,8,603111,康尼机电,100776131,4976310194.88,2.421806812286377,093051,20231031,4.5,4.55,4.58,4.48,16512121.0,4.84,5.01,5.01,4.8,100776131.0,5.18,5.02,5.18,4.94,270533362.0
9,9,000838,财信发展,178838624,3939654590.08,4.759845733642578,093057,20231031,3.2,3.25,3.26,3.16,35848835.48,3.46,3.58,3.58,3.42,178838623.82,3.59,3.7,3.85,3.54,408041137.32
10,10,002981,朝阳科技,101271079,3026880000.0,3.8221828937530518,093100,20231031,25.93,28.66,28.66,25.89,63821332.56,30.65,31.53,31.53,30.0,101271079.0,33.9,34.68,34.68,33.11,95109181.2
11,11,605288,凯迪股份,43706416,3143507279.36,1.3999361991882324,093139,20231031,40.35,40.71,40.96,39.69,24364675.0,43.24,44.78,44.78,42.83,43706416.0,46.73,45.21,48.51,44.71,228102869.0
